epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.912,1.33837,1.0513,1.0919,0.66401,0.45539,0.52438,0.31356,1.2317,0.9019,1.04786,0.00027682,0.00027682,0.00027682
2,250.085,1.28703,0.96887,1.07358,0.69591,0.45629,0.52381,0.31371,1.24015,0.90568,1.05232,0.00052704,0.00052704,0.00052704
3,372.336,1.28454,0.96428,1.0709,0.70006,0.45322,0.52737,0.31347,1.23519,0.92787,1.0506,0.00074977,0.00074977,0.00074977
4,495.027,1.26741,0.95519,1.06661,0.61842,0.494,0.5481,0.32309,1.2338,0.8982,1.0498,0.000709299,0.000709299,0.000709299
5,617.029,1.24962,0.9289,1.05867,0.60983,0.51388,0.54659,0.32397,1.21414,0.89231,1.04407,0.000668066,0.000668066,0.000668066
6,738.146,1.2315,0.90591,1.05208,0.66073,0.50703,0.56291,0.3362,1.20447,0.86286,1.03548,0.000626832,0.000626832,0.000626832
7,861.551,1.22145,0.88747,1.04433,0.62818,0.53128,0.5574,0.33748,1.19531,0.85595,1.03163,0.000585599,0.000585599,0.000585599
8,996.13,1.205,0.87591,1.0407,0.6962,0.50377,0.57312,0.35342,1.17353,0.84204,1.02499,0.000544365,0.000544365,0.000544365
9,1128.31,1.19779,0.8668,1.03904,0.63818,0.52691,0.57157,0.34872,1.17792,0.84061,1.0231,0.000503132,0.000503132,0.000503132
10,1254.73,1.18644,0.85731,1.03295,0.68714,0.49555,0.59039,0.36347,1.17082,0.82252,1.02264,0.000461898,0.000461898,0.000461898
11,1420.89,1.15658,0.80955,1.02004,0.63631,0.56472,0.58471,0.35792,1.17275,0.83122,1.02156,0.000420665,0.000420665,0.000420665
12,1540.61,1.13236,0.7873,1.01176,0.67736,0.53401,0.59821,0.36526,1.16129,0.81309,1.02235,0.000379431,0.000379431,0.000379431
13,1661.51,1.12063,0.77404,1.00774,0.73292,0.53421,0.61105,0.3723,1.15992,0.80082,1.01416,0.000338198,0.000338198,0.000338198
14,1780.06,1.10658,0.76312,1.00258,0.67329,0.56581,0.61398,0.37932,1.14923,0.79804,1.01264,0.000296964,0.000296964,0.000296964
15,1900.09,1.10198,0.75058,0.99827,0.69255,0.58858,0.62258,0.38067,1.14148,0.78435,1.01364,0.000255731,0.000255731,0.000255731
16,2019.29,1.09451,0.74524,0.9974,0.73592,0.55347,0.62148,0.38593,1.13884,0.78831,1.01114,0.000214497,0.000214497,0.000214497
17,2140.24,1.08209,0.73259,0.99149,0.69279,0.57606,0.62214,0.38638,1.13015,0.77606,1.00592,0.000173264,0.000173264,0.000173264
18,2260.61,1.07044,0.72005,0.98809,0.73424,0.55955,0.63422,0.39661,1.12557,0.76616,1.00524,0.000132031,0.000132031,0.000132031
19,2380.89,1.06359,0.71241,0.98429,0.72807,0.56815,0.63732,0.40044,1.11702,0.76187,1.00355,9.0797e-05,9.0797e-05,9.0797e-05
20,2501.09,1.05646,0.70528,0.97919,0.72354,0.57284,0.64144,0.40474,1.11374,0.75466,0.99924,4.95635e-05,4.95635e-05,4.95635e-05
