epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.751,1.59183,2.0076,1.18548,0.48623,0.27872,0.27008,0.14773,1.45809,1.25978,1.14153,0.00027682,0.00027682,0.00027682
2,314.649,1.44136,1.35912,1.13466,0.51135,0.31798,0.3206,0.1783,1.4145,1.18381,1.14024,0.000548997,0.000548997,0.000548997
3,456.827,1.40777,1.22704,1.12932,0.55029,0.3422,0.36923,0.20719,1.36029,1.10863,1.13143,0.000815677,0.000815677,0.000815677
4,599.598,1.36269,1.1453,1.11405,0.54934,0.41314,0.42131,0.24098,1.34538,1.04528,1.11882,0.00080826,0.00080826,0.00080826
5,743.667,1.32906,1.06971,1.10124,0.48213,0.43437,0.40477,0.23601,1.31152,1.02918,1.1179,0.000800013,0.000800013,0.000800013
6,883.368,1.29963,1.02546,1.09124,0.53594,0.47358,0.46738,0.26749,1.29119,0.97298,1.10671,0.000791767,0.000791767,0.000791767
7,1020.32,1.27428,0.97662,1.07447,0.61535,0.44757,0.47869,0.27284,1.29032,0.96895,1.10434,0.00078352,0.00078352,0.00078352
8,1166.07,1.25439,0.95699,1.06737,0.6192,0.47912,0.52356,0.30936,1.26279,0.92582,1.09398,0.000775273,0.000775273,0.000775273
9,1312.71,1.24211,0.93819,1.06727,0.56418,0.49987,0.51447,0.30333,1.22725,0.89936,1.07953,0.000767026,0.000767026,0.000767026
10,1452.33,1.22996,0.92587,1.05765,0.6075,0.50718,0.53424,0.31669,1.23091,0.88684,1.07434,0.00075878,0.00075878,0.00075878
11,1592.98,1.21645,0.89926,1.05254,0.59789,0.49269,0.51475,0.30861,1.23924,0.89753,1.09286,0.000750533,0.000750533,0.000750533
12,1735.99,1.20371,0.88461,1.04817,0.58862,0.50028,0.51701,0.30715,1.20132,0.87237,1.07396,0.000742286,0.000742286,0.000742286
13,1878.25,1.1918,0.86597,1.04312,0.6513,0.52526,0.58145,0.34688,1.20192,0.84848,1.06538,0.00073404,0.00073404,0.00073404
14,2022.92,1.18577,0.85669,1.04026,0.65004,0.53052,0.56746,0.33487,1.17175,0.83684,1.05618,0.000725793,0.000725793,0.000725793
15,2162.75,1.18136,0.84397,1.03921,0.66929,0.5216,0.57431,0.33964,1.18266,0.84794,1.06407,0.000717546,0.000717546,0.000717546
16,2300.77,1.1735,0.83609,1.03277,0.70539,0.54938,0.616,0.37528,1.17032,0.81147,1.05253,0.000709299,0.000709299,0.000709299
17,2432.55,1.15411,0.82063,1.0281,0.68884,0.57151,0.61788,0.37192,1.15989,0.79684,1.04697,0.000701053,0.000701053,0.000701053
18,2559.5,1.15504,0.81994,1.02492,0.689,0.56608,0.62201,0.37346,1.15077,0.78195,1.04307,0.000692806,0.000692806,0.000692806
19,2691.87,1.1468,0.80515,1.02164,0.7103,0.54013,0.62583,0.38462,1.13312,0.78666,1.03317,0.000684559,0.000684559,0.000684559
20,2817.39,1.14864,0.80319,1.01921,0.7114,0.59193,0.64799,0.39395,1.13714,0.77708,1.03916,0.000676313,0.000676313,0.000676313
21,2945.14,1.126,0.78533,1.01642,0.73294,0.56704,0.64447,0.3932,1.13078,0.76765,1.03388,0.000668066,0.000668066,0.000668066
22,3079.72,1.11791,0.77589,1.00863,0.73524,0.58094,0.6538,0.40973,1.12826,0.76474,1.033,0.000659819,0.000659819,0.000659819
23,3231.25,1.1146,0.77468,1.01107,0.73095,0.5922,0.65862,0.41153,1.11072,0.75001,1.02997,0.000651573,0.000651573,0.000651573
24,3377.95,1.0998,0.75643,1.00589,0.74546,0.60213,0.67677,0.42197,1.10472,0.7397,1.02709,0.000643326,0.000643326,0.000643326
25,3548.14,1.09984,0.75527,1.00161,0.74687,0.57748,0.67229,0.42003,1.10183,0.73207,1.02555,0.000635079,0.000635079,0.000635079
26,3710.47,1.09466,0.75241,1.00342,0.7847,0.60092,0.68732,0.42901,1.09878,0.73605,1.02201,0.000626832,0.000626832,0.000626832
27,3870.33,1.09267,0.74894,1.00019,0.73534,0.60875,0.67381,0.41737,1.10209,0.72482,1.02497,0.000618586,0.000618586,0.000618586
28,4005.95,1.08778,0.73909,1.00211,0.76185,0.61746,0.69276,0.43598,1.0985,0.71966,1.0226,0.000610339,0.000610339,0.000610339
29,4132.13,1.08212,0.7342,0.99756,0.72805,0.62428,0.68629,0.43335,1.07768,0.7105,1.01646,0.000602092,0.000602092,0.000602092
30,4264.29,1.08196,0.73234,0.99559,0.80333,0.60572,0.69367,0.44198,1.07747,0.70457,1.015,0.000593846,0.000593846,0.000593846
31,4393.92,1.0684,0.71836,0.99193,0.76585,0.60677,0.69154,0.44098,1.07149,0.69845,1.01168,0.000585599,0.000585599,0.000585599
32,4529.54,1.06847,0.71773,0.99299,0.79186,0.61805,0.70484,0.44619,1.06473,0.69528,1.0112,0.000577352,0.000577352,0.000577352
33,4704.08,1.05719,0.70735,0.98633,0.75334,0.61163,0.68459,0.4372,1.05326,0.6931,1.00483,0.000569106,0.000569106,0.000569106
34,4886.66,1.05781,0.70786,0.98748,0.76321,0.6226,0.69611,0.44515,1.05548,0.69126,1.00911,0.000560859,0.000560859,0.000560859
35,5069.04,1.05246,0.70631,0.98481,0.77406,0.63202,0.70376,0.44977,1.05693,0.67808,1.00475,0.000552612,0.000552612,0.000552612
36,5250.25,1.04646,0.69595,0.98225,0.7925,0.62425,0.70375,0.4513,1.04996,0.681,1.00597,0.000544365,0.000544365,0.000544365
37,5429.29,1.03528,0.6886,0.97669,0.74005,0.65719,0.70989,0.45778,1.04071,0.6725,0.99857,0.000536119,0.000536119,0.000536119
38,5610.24,1.03553,0.69107,0.97776,0.7633,0.64761,0.71282,0.45228,1.04546,0.67229,1.00312,0.000527872,0.000527872,0.000527872
39,5790.77,1.0281,0.6788,0.97572,0.77252,0.62818,0.70721,0.45544,1.03861,0.67386,0.99574,0.000519625,0.000519625,0.000519625
40,5957.54,1.0211,0.67338,0.973,0.79176,0.6371,0.72578,0.47197,1.02864,0.65565,0.99528,0.000511379,0.000511379,0.000511379
41,6083.92,1.02192,0.67244,0.97358,0.77543,0.67777,0.73501,0.48188,1.0304,0.6544,0.99982,0.000503132,0.000503132,0.000503132
42,6208.23,1.01458,0.66723,0.97181,0.78949,0.655,0.72528,0.47504,1.02526,0.6499,0.99482,0.000494885,0.000494885,0.000494885
43,6334.27,1.01386,0.66718,0.9707,0.79696,0.6448,0.72133,0.47238,1.02076,0.65614,0.99666,0.000486639,0.000486639,0.000486639
44,6458.93,1.00903,0.66151,0.96985,0.79265,0.63489,0.72618,0.47934,1.01729,0.65074,0.9918,0.000478392,0.000478392,0.000478392
45,6584.45,1.00072,0.65611,0.96566,0.83168,0.6324,0.72976,0.47434,1.01263,0.65281,0.98766,0.000470145,0.000470145,0.000470145
46,6708.65,1.00147,0.65837,0.96748,0.81893,0.65382,0.74326,0.48692,1.0073,0.64212,0.99062,0.000461898,0.000461898,0.000461898
47,6839.97,1.00118,0.65081,0.96293,0.81795,0.65662,0.741,0.48571,1.00636,0.64488,0.98898,0.000453652,0.000453652,0.000453652
48,6968.61,0.9946,0.64786,0.96337,0.81923,0.66589,0.75281,0.49178,1.00301,0.62811,0.98619,0.000445405,0.000445405,0.000445405
49,7095.35,0.9853,0.64103,0.95828,0.79499,0.6692,0.74031,0.48624,1.00128,0.63251,0.98356,0.000437158,0.000437158,0.000437158
50,7219.29,0.98011,0.63627,0.95891,0.79847,0.66245,0.74435,0.48711,0.99879,0.62644,0.98257,0.000428912,0.000428912,0.000428912
51,7345.46,0.97396,0.63179,0.95728,0.84912,0.65741,0.75043,0.49546,0.99105,0.62365,0.98016,0.000420665,0.000420665,0.000420665
52,7469.43,0.97664,0.63465,0.95491,0.81732,0.66721,0.75056,0.49233,0.98757,0.6246,0.98081,0.000412418,0.000412418,0.000412418
53,7594.98,0.97137,0.63257,0.95344,0.82035,0.67331,0.75732,0.49435,0.98766,0.62447,0.98329,0.000404172,0.000404172,0.000404172
54,7719.3,0.9736,0.62671,0.95517,0.81153,0.68666,0.75532,0.4934,0.98733,0.61726,0.98184,0.000395925,0.000395925,0.000395925
55,7845.46,0.96972,0.62444,0.95218,0.79162,0.66767,0.75233,0.49419,0.98345,0.61412,0.97745,0.000387678,0.000387678,0.000387678
56,7970.23,0.96228,0.61757,0.95134,0.79692,0.67766,0.75153,0.49877,0.98213,0.60984,0.97919,0.000379431,0.000379431,0.000379431
57,8094.77,0.96081,0.61688,0.94958,0.79804,0.67645,0.75016,0.4959,0.97442,0.60544,0.97456,0.000371185,0.000371185,0.000371185
58,8219.29,0.95469,0.61294,0.94898,0.8085,0.6783,0.76612,0.50801,0.9701,0.60619,0.97232,0.000362938,0.000362938,0.000362938
59,8344.36,0.94977,0.60949,0.94577,0.82517,0.67485,0.7578,0.50608,0.97323,0.60469,0.97337,0.000354691,0.000354691,0.000354691
60,8470.28,0.95225,0.60867,0.9461,0.80763,0.69808,0.76389,0.50807,0.96513,0.59843,0.97123,0.000346445,0.000346445,0.000346445
61,8595.25,0.94842,0.60605,0.94802,0.82821,0.68932,0.76655,0.50846,0.97153,0.60146,0.97349,0.000338198,0.000338198,0.000338198
62,8720.43,0.93483,0.59814,0.94193,0.83899,0.67726,0.76623,0.51404,0.96278,0.60447,0.97122,0.000329951,0.000329951,0.000329951
63,8844.59,0.94204,0.60182,0.9428,0.86101,0.66152,0.76652,0.51978,0.95857,0.59453,0.96822,0.000321705,0.000321705,0.000321705
