epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.932,1.26981,0.96965,1.06606,0.5236,0.39891,0.40902,0.2408,1.35507,1.10067,1.09745,0.00027682,0.00027682,0.00027682
2,256.481,1.28825,0.99849,1.07218,0.47275,0.40669,0.41131,0.23975,1.35757,1.08567,1.09661,0.000499593,0.000499593,0.000499593
3,373.941,1.28311,0.99094,1.0702,0.47247,0.39817,0.39439,0.2231,1.37338,1.05507,1.1059,0.000667387,0.000667387,0.000667387
4,491.397,1.26579,0.96679,1.06252,0.49378,0.43446,0.4227,0.24542,1.34092,1.03361,1.09168,0.000585599,0.000585599,0.000585599
5,610.786,1.24428,0.93698,1.05586,0.54505,0.42943,0.45599,0.26971,1.32872,1.03295,1.09075,0.000503132,0.000503132,0.000503132
6,730.939,1.22149,0.90445,1.04673,0.55229,0.44909,0.46905,0.27047,1.32868,0.98263,1.09235,0.000420665,0.000420665,0.000420665
7,851.276,1.19633,0.87912,1.03701,0.56627,0.44917,0.46556,0.2758,1.31245,0.98169,1.07477,0.000338198,0.000338198,0.000338198
8,972.164,1.18724,0.86207,1.0322,0.59645,0.46336,0.50664,0.30403,1.27884,0.95504,1.06178,0.000255731,0.000255731,0.000255731
9,1093.17,1.17855,0.84509,1.02835,0.64705,0.44005,0.50153,0.29896,1.27311,0.95475,1.06474,0.000173264,0.000173264,0.000173264
10,1220.35,1.16054,0.82846,1.0228,0.62588,0.46385,0.52016,0.31309,1.25999,0.95227,1.05771,9.0797e-05,9.0797e-05,9.0797e-05
